ra,dec,mag
0.970615,33.950885,5.99
0.971236,45.597145,7.23
0.971915,21.404495,6.47
0.972071,6.844312,6.74
0.972834,-60.696239,6.23
0.974011,24.522079,7.33
0.974571,26.785835,7.36
0.975285,66.351793,5.97
0.976766,-29.357449,4.3
0.978639,47.036586,6.84
0.978831,-19.632671,7.12
0.978852,-11.379975,5.62
0.979374,-5.882816,6.57
0.984179,27.657139,6.99
0.985157,32.455778,7.37
0.992301,48.966339,6.9
0.997135,6.483225,6.14
0.997486,-8.323171,7.41
0.997665,-49.750633,7.39
0.999914,48.019958,7.13
1.000771,60.50996,7.09
1.000988,44.713243,5.69
1.001025,-2.019027,7.35
1.003686,47.318486,7.28
1.004369,18.199025,7.34
1.005883,17.226313,7.25
1.007773,21.249143,6.83
1.008232,80.545404,6.67
1.00824,18.691578,7.16
1.008587,70.982988,6.4
1.008725,37.791505,7.21
1.009098,58.364124,7.12
1.00929,-25.74915,7.34
1.009811,-36.238245,6.99
1.011129,-52.582757,7.34
1.011146,-20.090195,7.22
1.011223,-1.658624,6.85
1.013915,-9.373547,7.4
1.017154,-4.6484,7.34
1.02174,-38.916527,5.59
1.021944,45.45205,6.86
1.021941,-60.860148,6.91
1.024179,49.54422,6.48
1.025042,69.358521,6.67
1.026162,-38.214773,6.61
1.026201,-6.799532,7.22
1.027401,-16.265573,6.47
1.02877,25.292219,6.71
1.029388,57.816696,6.77
1.033838,-57.002389,6.12
1.035457,56.328672,6.71
1.038433,81.875575,6.9
1.038463,51.034938,6.48
1.040674,-31.552005,5.5
1.041563,8.821559,7.08
1.043227,27.747951,6.88
1.04356,-77.551024,7.24
1.044352,52.850912,7.39
1.045178,9.132955,6.83
1.04525,-65.456102,6.25
1.046971,31.804263,5.5
1.046997,-46.397311,5.39
1.047305,26.299391,7.21
1.047328,62.60909,7.25
1.048274,51.798093,6.84
1.048407,41.345157,5.95
1.049058,7.890135,4.27
1.050423,47.376158,6.46
